kz,сипаттама,ru,описание,en,description
Мотивация,"дененің ішкі эмоционалды боялған күйі, оның қажеттіліктері негізінде пайда болады және оның белсенді, мақсатты әрекеттерін тудырады.",Мотивация,"внутреннее эмоционально окрашенное состояние организма, возникающее на основе его потребностей и вызывающее его активную целенаправленную деятельность.",Motivation,an internal emotionally colored state of the body that arises on the basis of its needs and causes its active purposeful activity.
Монотерапия,"бір, бөлек дәрілік препаратпен емдеу.",Монотерапия,"лечение одним, отдельно взятым лекарственным препаратом.",Monotherapy,"treatment with a single, single drug."
Мононуклеоз,"тамақтың ауыруы мен қабынуымен, шаршау мен мазасыздықпен, лимфоаденопатиямен, бауырдың ұлғаюымен сипатталатын жұқпалы ауру. Герпесвирустар тұқымдасына жатады. Ол ауа тамшылары арқылы, ортақ ыдыс-аяқтарды, төсек-орындарды, сүлгілерді, поцелуйді қолданған кезде беріледі.",Мононуклеоз,"инфекционное заболевание, для которого характерны болезненность и воспаление горла, утомление и беспокойство, лимфоаденопатия, увеличение печени. Вызывается , принадлежащим к семейству герпес-вирусов. Передается воздушно-капельным путем, при пользовании общей посудой, постелью, полотенцами, при поцелуях.",Mononucleosis,"an infectious disease characterized by soreness and inflammation of the throat, fatigue and anxiety, lymphadenopathy, enlarged liver. It is caused by belonging to the herpesvirus family. It is transmitted by airborne droplets, when using common dishes, bedding, towels, when kissing."
Моноклоналды антиденелер,қолдау көрсетілетін жасуша желісін пайдаланып зертханада жасанды түрде өндірілген антиденелер.,Моноклональные антитела,"антитела, искусственно произведенные в лаборатории с использованием поддерживаемой клеточной линии.",Monoclonal antibodies,antibodies artificially produced in the laboratory using a supported cell line.
Молочница,"ауыз қуысында ақшыл (немесе сирек қызыл) түстің бірнеше нүктелік бляшкаларымен сипатталатын ауызша форма: таңдайда, тілде.",Молочница,"оральная форма , для которой характерны множественные точечные налеты беловатого (или, реже, красного) цвета в полости рта: на небе, языке.",Thrush,"oral form, which is characterized by multiple spot deposits of whitish (or, less often, red) color in the oral cavity: on the palate, tongue."
Жұқпалы моллюскалар,"поксвирустар тұқымдасына жататын вирус тудырады. Вирус терінің зақымдануын тудырады; теріге және шырышты қабаттарға, соның ішінде жыныстық қатынас арқылы жаралар арқылы жанасады. Зақымданулар орталық депрессиясы бар 2-10 мм Меруерт тәрізді кішкентай күмбез тәрізді папула түрінде көрінеді. Көбінесе олар бетке немесе жыныс мүшелеріне жиналады. Косметикалық мақсатта криотерапия, электрокоагуляция және басқа да жою әдістері қолданылады, бірақ АИТВ-инфекциясы бар науқастарда моллюскадан толық тазарту мүмкін емес.",Моллюск контагиозный,"вызывается вирусом, относящимся к семейству поксвирусов. Вирус вызывает поражение кожных покровов; передается контактно, через ранки на коже и слизистых оболочках, в том числе при половых контактах. Поражения выглядят как жемчужные мелкие куполообразные папулы размером 2-10 мм с центральным вдавлением. Чаще они скапливаются на лице или гениталиях. С косметической целью применяют криотерапию, электрокоагуляцию и другие методы разрушения, но полное очищение от моллюска у больных ВИЧ-инфекцией невозможно.",Mollusc contagious,"it is caused by a virus belonging to the poxvirus family. The virus causes damage to the skin; it is transmitted by contact, through wounds on the skin and mucous membranes, including during sexual contact. The lesions look like pearly small domed papules 2-10 mm in size with a central indentation. More often they accumulate on the face or genitals. Cryotherapy, electrocoagulation and other methods of destruction are used for cosmetic purposes, but complete purification from shellfish in patients with HIV infection is impossible."
Митохондрия,жасуша цитоплазмасында орналасқан органоид. Митохондриялардың өзіндік тәуелсіз ДНҚ-сы бар және жасуша үшін энергия көзі ретінде қызмет етеді.,Митохондрия,"органоид, находящийся в цитоплазме клетки. Митохондрии имеют собственную независимую ДНК и служат источником энергии для клетки.",Mitochondria,an organoid located in the cytoplasm of a cell. Mitochondria have their own independent DNA and serve as a source of energy for the cell.
Миопатия,"Қаңқа бұлшықеттерінің әртүрлі аномалиялары мен аурулары, соның ішінде бұлшықет әлсіздігі, атрофия, жүйке-бұлшықет аурулары және т. б.",Миопатия,"различные по происхождению аномалии и заболевания скелетных мышц, в т. ч. мышечная слабость, атрофия, нервно-мышечные болезни и т. д.",Myopathy,"anomalies and diseases of skeletal muscles of various origin, including muscle weakness, atrophy, neuromuscular diseases, etc."
Миокард,жүрек бұлшықеті.,Миокард,сердечная мышца.,Myocardium,the heart muscle.
Микроспоридиоз,"Microsporidia тұқымдасының ең қарапайым микроорганизмін жұқтыру нәтижесінде пайда болатын ауру. Аурудың белгілері (диарея, іштің ауыруы) симптомдарға ұқсас, бұл көбінесе қате диагнозға әкеледі.",Микроспоридиоз,"заболевание, возникающее в результате заражения болезнетворным простейшим микроорганизмом рода Microsporidia. Симптомы заболевания (диарея, боли в животе) сходны с симптомами , что часто приводит к ошибочному диагнозу.",Microsporidiosis,"a disease resulting from infection with a pathogenic protozoan microorganism of the genus Microsporidia. The symptoms of the disease (diarrhea, abdominal pain) are similar to the symptoms, which often leads to an erroneous diagnosis."
Микробтар,"микроскопиялық тірі организмдер, олардың құрамына бактериялар, қарапайымдылар (протозойлар) және саңырауқұлақтар кіреді.",Микробы,"микроскопические живые организмы, в число которых входят бактерии, простейшие (протозои) и грибки.",Germs,"microscopic living organisms, which include bacteria, protozoa and fungi."
Микоплазма,"құрылымы бактерияларға қарағанда қарапайым, бірақ вирустарға қарағанда күрделі микроорганизмдер класы. Микоплазманың кейбір түрлері АИТВ-инфекциясының патогенезінде рөл атқаруы мүмкін, бірақ бұл туралы әлі нақты растау жоқ.",Микоплазма,"класс микроорганизмов, более простых по строению, чем бактерии, но более сложных, чем вирусы. Некоторые виды микоплазмы, возможно, играют роль в патогенезе ВИЧ-инфекции, хотя однозначного подтверждения этому еще нет.",Mycoplasma,"a class of microorganisms that are simpler in structure than bacteria, but more complex than viruses. Some types of mycoplasma may play a role in the pathogenesis of HIV infection, although there is no clear confirmation of this yet."
Микобактериум авиум кешені,"бір — біріне ұқсас екі микроорганизм-Mycobacterium avium және Mycobacterium intracellulare тудыратын оппортунистік инфекция. ЖИТС-пен ауыратын науқастарда инфекция қан ағымы арқылы таралуы мүмкін, лимфа түйіндеріне, сүйек кемігіне, бауырға, көкбауырға, жұлын сұйықтығына, өкпеге және асқазан-ішек жолдарына әсер етеді. Көкнәрдің белгілері-ұзаққа созылған сарқылу, безгегі, үнемі шаршау, көкбауырдың ұлғаюы.",Микобактериум авиум комплекс,"оппортунистическая инфекция, вызываемая двумя сходными между собой микроорганизмами — Mycobacterium avium и Mycobacterium intracellulare. У больных СПИДом инфекция может распространяться через кровоток, поражая лимфоузлы, костный мозг, печень, селезенку, спинномозговую жидкость, легкие и желудочно-кишечный тракт. Симптомы МАК — длительное истощение, повышенная температура, постоянное утомление, увеличение селезенки.",Mycobacterium avium complex,"an opportunistic infection caused by two similar microorganisms — Mycobacterium avium and Mycobacterium intracellulare. In AIDS patients, the infection can spread through the bloodstream, affecting lymph nodes, bone marrow, liver, spleen, cerebrospinal fluid, lungs and gastrointestinal tract. Symptoms of MAC are prolonged exhaustion, fever, constant fatigue, enlargement of the spleen."
Миелосупрессивті,жаңа қан жасушаларының өндірісін тежейтін сүйек кемігінің қан түзу функциясына кедергі келтіреді.,Миелосупрессивный,"препятствующий кроветворной функции костного мозга, подавляющий выработку новых клеток крови.",Myelosuppressive,"interfering with the hematopoietic function of the bone marrow, suppressing the production of new blood cells."
Метастаз,"патогендердің (мысалы, қабыну кезіндегі микроорганизмдер немесе қатерлі ісік жасушалары) аурудың бастапқы ошағынан дененің басқа бөлігіне, онда қайталама ошақтардың (метастаздардың) пайда болуымен тасымалдануы.",Метастазирование,"перенесение болезнетворных агентов (например, микроорганизмов при воспалении или клеток раковой опухоли) из первичного очага заболевания в другую часть организма, с образованием там вторичных очагов (метастазов).",Metastasis,"transfer of pathogenic agents (for example, microorganisms in inflammation or cancer cells) from the primary focus of the disease to another part of the body, with the formation of secondary foci (metastases) there."
Метаболит,метаболикалық процестер нәтижесінде пайда болатын кез-келген зат.,Метаболит,"всякое вещество, произведенное в результате метаболических процессов.",Metabolite,any substance produced as a result of metabolic processes.
Малигнизация,қалыпты жасушаны қатерлі жасушаға айналдыру процесі. Бұл канцерогендік факторлардың әсерінен болуы мүмкін. Зақымдалған (қатерлі) жасушалар қатерлі ісіктің бастапқы ошағын құрайды. Кейде қатерсіз ісіктердің қатерлі ісігі байқалады.,Малигнизация,процесс превращения нормальной клетки в злокачественную. Может происходить под влиянием канцерогенных факторов. Поврежденные (малигнизированные) клетки образуют первичный очаг злокачественной опухоли. Иногда наблюдается малигнизация доброкачественных опухолей.,Malignization,the process of turning a normal cell into a malignant one. It may occur under the influence of carcinogenic factors. Damaged (malignated) cells form the primary focus of a malignant tumor. Sometimes malignancy of benign tumors is observed.
Мальабсорбция,"мальабсорбция синдромы: ішекте қоректік заттардың сіңуінің төмендеуі, бұл тәбеттің төмендеуіне, бұлшықет ауырсынуына және шаршауға әкеледі.",Мальабсорбция,"синдром недостаточности всасывания: пониженное всасывание питательных веществ в кишечнике, приводящее к потере аппетита, мышечным болям и истощению.",Malabsorption,"malabsorption syndrome: reduced absorption of nutrients in the intestine, leading to loss of appetite, muscle pain and exhaustion."
Макула,"қан тамырлары жоқ көз торындағы пигментті Орталық аймақ (""сары дақ""). Бұл тордың қоректік заттармен қамтамасыз етілуіне жауап беретін ең сезімтал аймақ.",Макула,"пигментированный центральный участок («желтое пятно») на сетчатке глаза, в котором отсутствуют кровеносные сосуды. Это самый чувствительный участок сетчатки, ответственный за поступление к ней питательных веществ.",Macula,"a pigmented central area (""yellow spot"") on the retina of the eye, in which there are no blood vessels. This is the most sensitive part of the retina, responsible for the supply of nutrients to it."
Макрофагтар,"мезенхимадан шыққан салыстырмалы түрде үлкен жасушалар, олар жұқтырған және деградацияланған тіндерді, дене жасушаларын, бөгде бөлшектерді жояды, сонымен қатар қабыну реакцияларына, лимфоциттердің активтенуіне және дененің жалпы иммундық реакциясына қатысатын таратқыш ақуыздарды (монокиндер) шығарады. Макрофагтар бүкіл денеде көп мөлшерде болады және әртүрлі қоздырғыштарға қарсы иммунитетті қалыптастыруда шешуші рөл атқарады. Бірге, макрофагтар АИТВ-инфекциясының резервуары болып табылады.",Макрофаги,"относительно крупные клетки мезенхимного происхождения, которые уничтожают зараженные и выродившиеся ткани, клетки организма, чужеродные частицы, а также выделяют белки-передатчики (монокины), участвующие в воспалительных реакциях, активации лимфоцитов и общей иммунной реакции организма. Макрофаги в большом количестве существуют во всем теле и играют ключевую роль в формировании иммунитета против различных болезнетворных микроорганизмов. Вместе с , макрофаги представляют собой резервуар ВИЧ-инфекции.",Macrophages,"relatively large cells of mesenchymal origin, which destroy infected and degenerated tissues, body cells, foreign particles, and also secrete transmitter proteins (monokines) involved in inflammatory reactions, activation of lymphocytes and the overall immune response of the body. Macrophages exist in large numbers throughout the body and play a key role in the formation of immunity against various pathogens. At the same time, macrophages are a reservoir of HIV infection."
Магнитті-резонансты сканерлеу,рентгендік кескіннің орнына магнит өрістері мен радиотолқындарды қолданатын диагностикалық процедура. MRI өте дәл кеңістіктік компьютерлік кескіндерді жасауға мүмкіндік береді.,Магнитно-резонансное сканирование,"диагностическая процедура, при которой вместо рентгеновского изображения используются магнитные поля и радиоволны. MRI позволяет создать очень точные пространственные компьютерные изображения.",Magnetic resonance scanning,a diagnostic procedure in which magnetic fields and radio waves are used instead of an X-ray image. MRI allows you to create very accurate spatial computer images.
Лямблиоз,"аш ішектің бұзылуын, жүрек айнуын, іштің пароксизмальды ауырсынуын және диареяны тудыратын адам мен жануарлардың протозойлық ішек инфекциясы. Көптеген жағдайларда лямблиоз симптомсыз өтеді, бірақ инфекцияның тасымалдаушысы жұқпалы. Инфекция нәжіспен ластанған қолдар, тамақ, су, сондай-ақ ауызша-анальды байланыс арқылы жүреді. Иммунитеті бұзылған адамдарда лямблиоз ұзақ және тұрақты ағымға ие болады.",Лямблиоз,"протозойная кишечная инфекция человека и животных, вызывающая расстройство работы тонкого кишечника, тошноту, приступообразные боли в животе и диарею. Во многих случаях лямблиоз проходит без симптомов, но носитель инфекции при этом заразен. Заражение происходит через загрязненные фекалиями руки, пищу, воду, а также при орально-анальном контакте. У людей с нарушенным иммунитетом лямблиоз приобретает длительное и упорное течение.",Giardiasis,"protozoal intestinal infection of humans and animals, causing disruption of the small intestine, nausea, paroxysmal abdominal pain and diarrhea. In many cases, giardiasis passes without symptoms, but the carrier of the infection is contagious. Infection occurs through hands contaminated with feces, food, water, as well as oral-anal contact. In people with impaired immunity, giardiasis acquires a long and persistent course."
Қызба,ағзаның патогендік тітіркендіргіштердің әсеріне реакциясы (инфекция) дене температурасының жоғарылауымен көрінеді. Негізінде бұл жұқпалы аурулар кезінде дененің табиғи тұрақтылығынан асатын бейімделу реакциясы.,Лихорадка,"реакция организма на воздействие патогенных раздражителей (инфекция), выражается в повышении температуры тела. В своей основе является приспособительной реакцией, повышающей естественную устойчивость организма при инфекционных болезнях.",Fever,"the body's reaction to the effects of pathogenic stimuli (infection) is expressed in an increase in body temperature. Basically, it is an adaptive reaction that exceeds the natural resistance of the body in infectious diseases."
Липосомалар,"микроскопиялық май тамшылары, олардың ішіне дәрі-дәрмектер орналастырылады, бұл олардың мақсатқа дәл жеткізілуін, уыттылығын төмендетуді және тиімділікті арттыруды қамтамасыз етеді.",Липосомы,"микроскопические капельки жира, внутрь которых помещают лекарства, чем обеспечивает их точную доставку к цели, снижение токсичности и, вероятно, повышение эффективности.",Liposomes,"microscopic droplets of fat, inside which drugs are placed, which ensures their accurate delivery to the target, reducing toxicity and, probably, increasing efficiency."
Липидтер,"майлар мен май тәрізді қосылыстар, соның ішінде стероидтер, май қышқылдары және басқа да көптеген заттар.",Липиды,"жиры и жироподобные соединения, в том числе стероиды, жирные кислоты и многие другие вещества.",Lipids,"fats and fat-like compounds, including steroids, fatty acids and many other substances."
Лимфоциттер,"ақ қан клеткаларының бір түрі. Лимфоидты мүшелерде пісетін және өмір сүретін ақ қан жасушалары. Лимфоциттер алынған иммунитетке байланысты иммундық жауапқа жауап береді. Лимфоциттерге жасушалар жатады Т-4 (CD-4), Т-8 (CD8), және басқалар.",Лимфоциты,"один из видов лейкоцитов. Белые клетки крови, которые созревают и обитают в лимфоидных органах. Лимфоциты отвечают за иммунный ответ, связанный с приобретенным иммунитетом. К лимфоцитам относятся клетки Т-4 (CD-4), Т-8 (CD-8), и другие.",Lymphocytes,"one of the types of leukocytes. White blood cells that mature and live in lymphoid organs. Lymphocytes are responsible for the immune response associated with acquired immunity. Lymphocytes include T-4 (CD-4), T-8 (CD8) cells, and others."
Лимфоцитопения,қандағы лимфоциттер санының төмендеуі.,Лимфоцитопения,уменьшение числа лимфоцитов в крови.,Lymphocytopenia,decrease in the number of lymphocytes in the blood.
Лимфома,"лимфоидты тіннің қатерлі зақымдануы. Лимфа жүйесінің қатерлі ісігі, көбінесе Т немесе В лимфоциттерімен байланысты. Лимфомалардың әртүрлі санаттары бар, соның ішінде лимфогрануломатоз (Ходжкин ауруы), лимфобластикалық (лимфосаркома).",Лимфома,"злокачественное поражение лимфоидной ткани. Рак лимфатической системы, часто связанный с Т или В-лимфоцитами. Существуют различные категории лимфом, в том числе лимфогранулематоз (болезнь Ходжкина), лимфобластома (лимфосаркома).",Lymphoma,"malignant lesion of lymphoid tissue. Cancer of the lymphatic system, often associated with T or B lymphocytes. There are various categories of lymphomas, including lymphogranulomatosis (Hodgkin's disease), lymphoblastic (lymphosarcoma)."
Лимфокиндер,лимфоциттер шығаратын және әртүрлі иммундық реакцияларды тудыратын цитокиндер (химиялық таратқыштар). Лимфокиндерге интерферондар мен интерлейкиндер жатады.,Лимфокины,"цитокины (химические передатчики), производимые лимфоцитами и вызывающие различные иммунные реакции. К лимфокинам относятся интерфероны и интерлейкины.",Lymphokines,cytokines (chemical transmitters) produced by lymphocytes and causing various immune reactions. Lymphokines include interferons and interleukins.
Лимфаденит,лимфа түйінінің қабынуы.,Лимфаденит,воспаление лимфатического узла.,Lymphadenitis,inflammation of the lymph node.
Лимфа түйіндері,"бұршақ дәні тәрізді ұсақ бездер, негізінен лимфоциттерден, лимфадан және дәнекер тіннен тұрады. Лимфа түйіндері дененің әртүрлі бөліктерінде кездеседі және иммундық жүйенің қалыпты жұмыс істеуі үшін қажет. Олар бір-бірімен және лимфа жүйесінің басқа мүшелерімен лимфа тамырлары арқылы байланысады. АИТВ-инфекциясы лимфа тініне ең ерте сатысында еніп, алғашқы белгілер пайда болғанға дейін көп уақыт бұрын таралатыны анықталды.",Лимфатические узлы,"небольшие железы в форме зерна фасоли, состоящие в основном из лимфоцитов, лимфы и соединительной ткани. Лимфатические узлы имеются в разных частях тела и необходимы для нормальной работы иммунной системы. Они связаны между собой и с другими органами лимфатической системы лимфатическими сосудами. Было установлено, что ВИЧ-инфекция уже на самой ранней стадии проникает в лимфатическую ткань и распространяется в ней задолго до появления первых симптомов.",Lymph nodes,"small glands in the shape of a bean grain, consisting mainly of lymphocytes, lymph and connective tissue. Lymph nodes are present in different parts of the body and are necessary for the normal functioning of the immune system. They are connected to each other and to other organs of the lymphatic system by lymphatic vessels. It was found that HIV infection already at the earliest stage penetrates into the lymphatic tissue and spreads in it long before the first symptoms appear."
Лимфангиит,лимфа тамырларының қабынуы.,Лимфангиит,воспаление лимфатических сосудов.,Lymphangiitis,inflammation of lymphatic vessels.
Лимфа тамырлары,лимфа иммундық жүйенің мүшелеріне және қанға енетін қан тамырларына ұқсас тамырлар желісі.,Лимфатические сосуды,"сеть сосудов, аналогичных кровеносным сосудам, по которым лимфа попадает к органам иммунной системы и в кровоток.",Lymphatic vessels,a network of vessels similar to blood vessels through which lymph gets to the organs of the immune system and into the bloodstream.
Лентивирустар,"инфекция мен алғашқы белгілердің пайда болуы арасындағы ұзақ кезеңмен сипатталатын"" баяу "" вирустар. ЛЕНТИВИРУСТАРҒА АИТВ, сондай-ақ SIV, приматтардың иммун тапшылығы вирусы (ұлы маймылдар) жатады.",Лентивирусы," «медленные» вирусы, для которых характерен длительный период между инфицированием и появлением первых симптомов. К лентивирусам относится ВИЧ, а также SIV , вирус иммунодефицита приматов (человекообразных обезьян).",Lentiviruses,"""slow"" viruses, which are characterized by a long period between infection and the appearance of the first symptoms. Lentiviruses include HIV, as well as SIV, the primate (great ape) immunodeficiency virus."
Лейкоцитоз,қан көлемінің бірлігінде лейкоциттер санының артуы (1 мкл-да 10000-нан астам).,Лейкоцитоз,увеличение числа лейкоцитов в единице объема крови (в 1 мкл более 10000).,Leukocytosis,an increase in the number of leukocytes per unit volume of blood (in 1 ml more than 10000).
Лейкоциттер,"ақ қан жасушалары, олар қан ағымынан дене тініне және артқа ауыса алады. Олар иммундық функцияны орындайды, денені бөгде заттардан қорғайды және антиденелер өндірісіне қатысады.",Лейкоциты,"белые клетки крови, которые могут переходить из кровотока в ткани тела и обратно. Они выполняют иммунную функцию, защищая тело от чужеродных веществ и участвуя в производстве антител. ",White blood cells,"white blood cells that can pass from the bloodstream to the body tissues and back. They perform an immune function, protecting the body from foreign substances and participating in the production of antibodies."
Лейкемия,қан түзетін жасушалардан пайда болатын және сүйек кемігіне әсер ететін ісіктердің жалпы атауы.,Лейкоз,"общее название опухолей, возникающих из кроветворных клеток и поражающих костный мозг.",Leukemia,the general name of tumors arising from hematopoietic cells and affecting the bone marrow.
Лейкопения,кейбір инфекциялар мен басқа ауруларда лейкоциттер санының азаюы.,Лейкопения,уменьшение числа лейкоцитов при некоторых инфекциях и других заболеваниях.,Leukopenia,decrease in the number of white blood cells in some infections and other diseases.
Легионеллез,"пневмония, безгегі, тыныс алу жолдарының, ОЖЖ, асқазан-ішек жолдары мен бүйректің зақымдалуымен сипатталатын жұқпалы ауру. Қоздырғыш-Legionella pneumophila бактериясы. Инфекция көбінесе ағын су арқылы жүреді. Патоген хлорлауға және 70°C дейінгі температураға төтеп бере алады.",Легионеллез,"инфекционная болезнь, для которой характерны пневмония, лихорадка, поражение дыхательных путей, ЦНС, желудочно-кишечного тракта и почек. Возбудитель — бактерия Legionella pneumophila. Заражение чаще всего происходит через водопроводную воду. Возбудитель выдерживает хлорирование и температуру до 70°С.",Legionellosis,"an infectious disease characterized by pneumonia, fever, damage to the respiratory tract, central nervous system, gastrointestinal tract and kidneys. The causative agent is the bacterium Legionella pneumophila. Infection most often occurs through tap water. The pathogen withstands chlorination and temperatures up to 70 ° C."
Латентный,"бұл патогендік организм адам ағзасында болатын, бірақ сонымен бірге белсенді емес жағдай деп аталады: ол көбеймейді және ауру тудырмайды. АИТВ-инфекциясына қолданғанда: АИТВ жұқтырған адам клиникалық кідіріс кезеңін бастан кешірсе де, ауру ешнәрсе көрсетпесе де, вирус ешқашан шынымен жасырын болмайды. Аурудың алғашқы кезеңдерінде де АИТВ лимфоидты органдарда белсенді болады, онда вирустың көп мөлшері фолликулярлық дендритті жасушалар желісімен ұсталады. Айналада инфекцияға ұшырайтын көптеген CD4 + жасушалары бар. Вирус бөлшектері жұқтырған жасушаларда да, бос күйінде де жиналады.",Латентный,"так называют состояние, при котором болезнетворный организм присутствует в теле человека, но при этом неактивен: не размножается и не вызывает болезнь. В применении к ВИЧ-инфекции: хотя человек, зараженный ВИЧ, как правило, переживает период клинической латентности, когда заболевание ничем не проявляется, на самом деле вирус никогда не бывает по-настоящему латентным. Даже на ранних стадиях заболевания ВИЧ активен в лимфоидных органах, где большие количества вируса захватываются сетью фолликулярных дендритных клеток. Вокруг находится много клеток CD4+, которые подвергаются заражению. Частицы вируса накапливаются как в инфицированных клетках, так и в свободном виде.",Latent,"this is the name of a condition in which a pathogenic organism is present in the human body, but is inactive: it does not multiply and does not cause disease. As applied to HIV infection: although a person infected with HIV, as a rule, experiences a period of clinical latency when the disease does not manifest itself, in fact, the virus is never truly latent. Even in the early stages of the disease, HIV is active in lymphoid organs, where large amounts of the virus are captured by a network of follicular dendritic cells. There are many CD4+ cells around that are being infected. Virus particles accumulate both in infected cells and in free form."
Ламивудин,"эксперименттік вирусқа қарсы препарат, нуклеозидтік аналог, АИТВ-ға ұқсас әсер ететін кері транскриптаза ингибиторы , бірақ бұл препараттарға қарағанда улы емес.",Ламивудин,"экспериментальный противовирусный препарат, нуклеозидный аналог, ингибитор обратной транскриптазы, который воздействует на ВИЧ аналогично , и , но менее токсичен, чем эти препараты.",Lamivudine,"an experimental antiviral drug, a nucleoside analog, a reverse transcriptase inhibitor, which affects HIV similarly, but is less toxic than these drugs."
Мәдениет,"биологиялық белсенді қосылыстар мен препараттарды алу мақсатында арнайы қоректік ерітінділерде зертханалық жағдайда микроорганизмдерді, тірі жасушаларды немесе тіндерді өсіру; вирусологиялық зерттеулер жүргізу кезінде; гендік инженерияда белгілі бір қасиеттері бар жасуша желілерін құру үшін.",Культура,"выращивание микроорганизмов, живых клеток или тканей в лабораторных условиях в специальных питательных растворах с целью получения биологически активных соединений и препаратов; при проведении вирусологических исследований; для создания клеточных линий с определенными свойствами в генной инженерии.",Culture,"cultivation of microorganisms, living cells or tissues in laboratory conditions in special nutrient solutions in order to obtain biologically active compounds and drugs; during virological studies; to create cell lines with certain properties in genetic engineering."
Қан айналымы,дененің барлық өмірлік функцияларын қамтамасыз етуге ықпал ететін жүрек қуыстары мен қан тамырларының жабық жүйесі арқылы қанның үздіксіз қозғалысы.,Кровообращение,"непрерывное движение крови по замкнутой системе полостей сердца и кровеносных сосудов, способствующее обеспечению всех жизненно важных функций организма.",Blood circulation,"continuous movement of blood through a closed system of heart cavities and blood vessels, contributing to the provision of all vital functions of the body."
Криптоспоридиоз,жануарлардың ішегінде өмір сүретін паразиттен туындаған инфекция; жұқтырған жануармен байланыста болған кезде немесе ластанған тағамды немесе суды тұтынған кезде адамға жұғуы мүмкін. Криптоспоридиоздың қоздырғышы ішек пен өт жолдарында өмір сүреді және ауыр созылмалы диареяны тудырады. Иммундық функция әлсіреген кезде криптоспоридиоз өмірге қауіп төндіреді.,Криптоспоридиоз,"инфекция, вызванная паразитом, живущим в кишечнике животных; может передаваться человеку при контакте с зараженным животным или при употреблении загрязненной пищи или воды. Возбудитель криптоспоридиоза обитает в кишечнике и желчных протоках и вызывает тяжелую хроническую диарею. При ослабленной иммунной функции криптоспоридиоз опасен для жизни.",Cryptosporidiosis,"infection caused by a parasite living in the intestines of animals; can be transmitted to humans by contact with an infected animal or by eating contaminated food or water. The causative agent of cryptosporidiosis lives in the intestines and bile ducts and causes severe chronic diarrhea. With weakened immune function, cryptosporidiosis is life-threatening."
Криптококкты менингит,"Cryptococcus neoformans саңырауқұлақтарының инфекциясы нәтижесінде ми мен жұлын мембраналарының қабынуы. Инфекция ауа тамшылары арқылы жүреді. Криптококкты менингит иммундық жағдайы төмен болған кезде пайда болады. Аурудың тән белгілері-бас ауруы, желке бұлшықеттерінің қатаюы, көру қабілетінің бұзылуы және басқа сезім мүшелері. Тиісті емдеу болмаған жағдайда коматозды жағдай мен өлім пайда болуы мүмкін.",Криптококковый менингит,"воспаление оболочек головного и спинного мозга в результате заражения грибком Cryptococcus neoformans. Заражение происходит воздушно-капельным путем. Криптококковый менингит возникает при низком иммунном статусе. Характерные симтомы заболевания — головная боль, затвердение затылочных мышц, расстройства зрения и других органов чувств. При отсутствии соответствующего лечения может наступить коматозное состояние и смерть.",Cryptococcal meningitis,"inflammation of the membranes of the brain and spinal cord as a result of infection with the fungus Cryptococcus neoformans. Infection occurs by airborne droplets. Cryptococcal meningitis occurs with a low immune status. Characteristic symptoms of the disease are headache, hardening of the occipital muscles, visual disturbances and other sensory organs. In the absence of appropriate treatment, a comatose state and death may occur."
